H	"Texas Eastern Transmission, LP"	C000094	4/2/2018	O	4/1/2018	T	T	BERK DONALDSON 713-627-4488				
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	"COLUMBIA GAS OF  PA.  - EAGLE, PA"	95	70011	3	1348						
P	M2	"CHEVRON - VENICE, LA"	95	71200	ELA	542						
P	M2	"COLUMBIA GULF - ST. LANDRY PSH., LA"	95	71750	WLA	806						
P	MQ	"ELIZABETHTOWN GAS CO. - UNION CO.,"	95	73062	3	1348						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT-1	830029-R1	11/1/1997	10/31/2002	365	N	20000		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	MQ	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3	6122						
P	M2	"ALGONQUIN - HANOVER, NJ"	95	71078	3	20000						
P	MQ	"ELIZABETHTOWN GAS CO. - UNION CO.,"	95	73062	3	20000						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT-1	910080-R3	1/1/2015	3/31/2021		N	5000		L39
P	MQ	"ELIZABETHTOWN GAS CO. - UNION CO.,"	95	73062	3	5000						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	5000						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT-1	910081-R3	1/1/2015	3/31/2021		N	5000		L40
P	MQ	"ELIZABETHTOWN GAS CO. - UNION CO.,"	95	73062	3	5000						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	5000						
D	"PIVOTAL UTILITY HOLDINGS, INC."	56711344	N	FT-1	910333-R1	4/1/2002	3/31/2014	365	N	5394		
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	183						
P	MQ	"ELIZABETHTOWN GAS CO. - ELIZABETH,"	95	70275	3	5394						
P	MQ	"ELIZABETHTOWN GAS CO. - RINGOES, NJ"	95	70584	3	5394						
P	MQ	"ELIZABETHTOWN GAS CO.-PERTH AMBOY,"	95	71075	3	5394						
P	MQ	"ELIZABETHTOWN GAS CO. - UNION CO.,"	95	73062	3	5394						
D	POSEYVILLE TOWN OF	48055628	N	SCT	800060-R1	6/1/1993	10/31/2012	365	N	767		X47
A	UTILITY GAS MANAGEMENT	N										
P	MQ	"POSEYVILLE, IN"	95	71190	2	767						
D	"PSEG POWER, LLC"	848793910	N	SS-1	400123-R2	12/1/2016	4/30/2022		N		3737160	L16
P	MQ	"PUBLIC SERVICE - SOUTH PLAINFIELD,"	95	70057	3		15571					
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3		62286					
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3		62286					
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3		43288					
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3		48850					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		19210	YN21				
D	"PSEG POWER, LLC"	848793910	N	SS-1	400241-R2	12/1/2016	10/31/2017	365	N		1453340	L52
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3		20762					
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3		20762					
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3		20762					
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3		20762					
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3		1038					
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3		16770					
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3		9503					
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3		20762					
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3		20762					
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3		20762					
P	M2	ZONE M3 STORAGE POINT	95	79513	3		0	YN21				
D	"PSEG POWER, LLC"	848793910	N	CDS	800600-R3	12/1/2016	10/31/2017	365	N	120000		L16
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	38514						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	100156						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	81282						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	69620						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	16770						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	9503						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	67856						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	43600						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	80528						
P	M2	ENTERPRISE TEXAS PIPELINE LLC - MAT	95	72601	STX	7071						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	19210						
D	"PSEG POWER, LLC"	848793910	N	FT-1	800601-R3	12/1/2016	10/31/2017	365	N	26115		L16/X56
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	26115						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	26115						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	26115						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	26115						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	16770						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	9503						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	26115						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	26115						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	26115						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	19210						
D	"PSEG POWER, LLC"	848793910	N	FT-1	800602-R2	12/1/2016	10/31/2017	365	N	15000		L16
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	15000						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	15000						
D	"PSEG POWER, LLC"	848793910	N	FT-1	800603-R2	12/1/2016	12/1/2017	365	N	40000		L16
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	38514						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	40000						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	40000						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	40000						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	16770						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	9503						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	40000						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	40000						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	40000						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	40000						
D	"PSEG POWER, LLC"	848793910	N	FT-1	800604-R3	12/1/2016	10/31/2017	365	N	40526		L16/X56
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	38514						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	40526						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	40526						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	40526						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	16770						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	9503						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	40526						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	40526						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	40526						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	19210						
D	"PSEG POWER, LLC"	848793910	N	FT-1	800605-R2	12/1/2016	10/31/2021		N	110000		L16
P	MQ	"PUBLIC SERVICE - SOUTH PLAINFIELD,"	95	70057	3	50000						
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	38514						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	100156						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	25000						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	81282						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	69620						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	16770						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	9503						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	78633						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	58600						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	80528						
P	MQ	PUBLIC SERVICE - JAMESBURG - MIDDLE	95	72944	3	24000						
P	MQ	ZONE M3 STORAGE POINT	95	79513	3	19210						
P	M2	ANR/TETCO (LEBANON LATERAL-ANR CAPA	95	79941	2	85000						
P	M2	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	85000						
D	"PSEG POWER, LLC"	848793910	N	FT-1	800606-R2	12/1/2016	10/31/2017	365	N	30000		L16
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	30000						
P	M2	GULF SOUTH PIPELINE COMPANY- KOSCIU	95	70217	1	30000						
D	"PSEG POWER, LLC"	848793910	N	FT-1	910553-R2	12/1/2016	10/31/2017	365	N	25018		L57
P	MQ	"PUBLIC SERVICE - SOUTH PLAINFIELD,"	95	70057	3	15571						
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	25018						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	25018						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	25018						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	25018						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	25018						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	16770						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	9503						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	25018						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	25018						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	25018						
D	"PSEG POWER, LLC"	848793910	N	FT1TME2	910611-R2	12/1/2016	10/31/2018		Y	50000		L93
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	10000						
P	M2	TEXAS GAS TRANSMISSION LLC - LEBANO	95	70215	2	50000						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	5000						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	15000						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	5000						
P	MQ	PUBLIC SERVICE - JAMESBURG - MIDDLE	95	72944	3	15000						
D	"PSEG POWER, LLC"	848793910	N	FT-1	911359-R2	12/1/2016	10/31/2018		N	16329		L81
P	MQ	"ALGONQUIN - HANOVER, NJ"	95	71078	3	16329						
P	M2	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	16329						
D	PUBLIC SERVICE ELECTRIC AND GAS COMPANY (NJ)	6973812	N	FTS-5	330181-R1	5/1/2004	3/31/2012	365	N	10508		L4
A	PSEG ENERGY RESOURCES & TRADE LLC	N										
P	M2	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	10508						
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	10508						
P	M2	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	10508						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	10508						
P	M2	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	10508						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	10508						
P	M2	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	10508						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	10508						
P	M2	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	10508						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	10508						
P	M2	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	10508						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	10508						
P	M2	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	10508						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	10508						
P	M2	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	10508						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	10508						
P	M2	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	10508						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	10508						
P	M2	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	10508						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	10508						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	10508						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	5838						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	10508						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	10508						
D	PUBLIC SERVICE ELECTRIC AND GAS COMPANY (NJ)	6973812	N	FTS	330840-R2	11/1/2009	10/31/2014	365	N	12315		L4
A	PSEG ENERGY RESOURCES & TRADE LLC	N										
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	12315						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	12315						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	10508						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	12315						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	12315						
D	PUBLIC SERVICE ELECTRIC AND GAS COMPANY (NJ)	6973812	N	FTS-5	330915-R1	6/1/1993	3/31/2012	365	N	45084		
A	PSEG ENERGY RESOURCES & TRADE LLC	N										
P	M2	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	41524						
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	41524						
P	M2	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	45084						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	45084						
P	M2	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	45084						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	45084						
P	M2	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	45084						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	45084						
P	M2	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	M2	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	18686						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	18686						
P	M2	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	10589						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	10589						
P	M2	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	41524						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	41524						
P	M2	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	43600						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	43600						
P	M2	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	45084						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	45084						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	45084						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	25047						
P	M2	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	45084						
P	MQ	COMPRESSOR STATION 23  (CHAMBERSBUR	95	79923	3	45084						
D	PUBLIC SERVICE ELECTRIC AND GAS COMPANY (NJ)	6973812	N	FTS-7	331007-R1	6/1/1993	4/15/2000	365	N	97915		
A	PSEG ENERGY RESOURCES & TRADE LLC	N										
P	M2	"PUBLIC SERVICE - SOUTH PLAINFIELD,"	95	70057	3	15571						
P	MQ	"PUBLIC SERVICE - SOUTH PLAINFIELD,"	95	70057	3	15571						
P	M2	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	41524						
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	41524						
P	M2	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	97915						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	97915						
P	M2	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	97915						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	97915						
P	M2	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	43288						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	43288						
P	M2	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	M2	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	18686						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	18686						
P	M2	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	10589						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	10589						
P	M2	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	41524						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	41524						
P	M2	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	43600						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	43600						
P	M2	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	84533						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	84533						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	97915						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	97915						
D	PUBLIC SERVICE ELECTRIC AND GAS COMPANY (NJ)	6973812	N	FTS-8	331017-R1	6/1/1993	3/31/2006	365	N	60069		
A	PSEG ENERGY RESOURCES & TRADE LLC	N										
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70004	2	31437						
P	M2	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	31437						
P	MQ	"PEOPLES NAT - SOMERSET, PA"	95	70051	2	31437						
P	M2	"PUBLIC SERVICE - SOUTH PLAINFIELD,"	95	70057	3	15571						
P	MQ	"PUBLIC SERVICE - SOUTH PLAINFIELD,"	95	70057	3	15571						
P	M2	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	41524						
P	MQ	"PUBLIC SERVICE - SEWAREN, NJ"	95	70066	3	41524						
P	M2	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	60069						
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	60069						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70372	2	31437						
P	M2	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	60069						
P	MQ	"PUBLIC SERVICE - CENTRAL WORKS, NJ"	95	70449	3	60069						
P	MQ	"DOMINION ENERGY TRANSMISSION, INC -"	95	70450	2	31437						
P	MQ	DOMINION TRANSMISSION INC - WOODSFI	95	70471	2	31437						
P	M2	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	43288						
P	MQ	"PUBLIC SERVICE - HANOVER, NJ"	95	70949	3	43288						
P	MQ	DOMINION TRANSMISSION INC - POWHATA	95	70983	2	31437						
P	M2	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	MQ	"PUBLIC SERVICE - BOUND BROOK, NJ"	95	71196	3	23588						
P	M2	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	18686						
P	MQ	"PUBLIC SERVICE - BASKING RIDGE, NJ"	95	71207	3	18686						
P	M2	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	10589						
P	MQ	"PUBLIC SERVICE - MORRISTOWN, NJ (TH"	95	71208	3	10589						
P	M2	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	41524						
P	MQ	"PUBLIC SERVICE - WANAQUE, NJ"	95	71209	3	41524						
P	M2	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	43600						
P	MQ	"PUBLIC SERVICE - HILLSBOROUGH, NJ"	95	71464	3	43600						
P	M2	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	60069						
P	MQ	"PUBLIC SERVICE - WOODBRIDGE,NJ"	95	72263	3	60069						
P	M2	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	31437						
P	MQ	"DTI - WAYNESBURG, PA(D 70037/R 7603"	95	75037	2	31437						
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	31437						
P	MQ	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	31437						
P	M2	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	28632						
P	MQ	DTI - LEIDY STORAGE (D70931/R76931)	95	75931	3	28632						
D	"PULASKI, TENNESSEE, CITY OF"	78229812	N	SCT	800061-R1	6/1/1993	10/31/2012	365	N	4763		X5
A	"CENTERPOINT ENERGY SERVICES, INC."	N										
P	MQ	"PULASKI, TN"	95	70430	1	4763						
D	"RANGE RESOURCES - APPALACHIA,  LLC"	114534337	N	LLFT	870271-R2	9/1/2015	10/31/2025		N	197143		
P	M2	PEPL/TETCO (LEBANON LATERAL-TETCO C	95	72770	2	197143						
P	MQ	"PEPL-GAS CITY DELIVERY/ROUTE 26, GR"	95	74903	2	197143						
D	"RANGE RESOURCES - APPALACHIA,  LLC"	114534337	N	FT-1	910883-R1	11/1/2011	10/31/2028		N	10000		X15
P	MQ	"PUBLIC SERVICE - LINDEN, NJ"	95	70128	3	10000						
P	MQ	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	10000						
D	"RANGE RESOURCES - APPALACHIA,  LLC"	114534337	N	FT1TM12	910916-R1	11/1/2012	10/31/2028		Y	150000		O115
A	"CALPINE ENERGY SERVICES, L.P."	N										
A	PACIFIC SUMMIT ENERGY LLC	N										
P	M2	NISOURCE MIDSTREAM SERVCS-DRY RIDGE	95	75660	2	40000						
P	M2	"NATIONAL FUEL-HOLBROOK GREENE CO.,"	95	75720	2	110000						
P	MQ	MARIETTA CUSTODY TRANSFER POINT	95	79660	3	150000						
D	"RANGE RESOURCES - APPALACHIA,  LLC"	114534337	N	FT-1MX	910921-R1	11/1/2012	10/31/2028		N	150000		O115
A	"CALPINE ENERGY SERVICES, L.P."	N										
A	PACIFIC SUMMIT ENERGY LLC	N										
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	150000						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	150000						
D	"RANGE RESOURCES - APPALACHIA,  LLC"	114534337	N	FT-1MX	911106-R1	4/1/2014	3/31/2015	365	N	9750		
P	MQ	"WILLIAMS-TRANSCO, LOWER CHANCEFORD-"	95	73703	3	9750						
P	M2	MARIETTA EXTENSION H/L	95	79965	3	9750						
D	"RANGE RESOURCES - APPALACHIA,  LLC"	114534337	N	FT-1	911222-R3	10/1/2017	10/31/2025		N	197143		L70
P	M2	"EQT- BRADEN RUN II, GREENE CO., PA."	95	73907	2	100000						
P	M2	"NATIONAL FUEL-HOLBROOK GREENE CO.,"	95	75720	2	97143						
P	MQ	TETCO LEBANON LATERAL TAKEAWAY POIN	95	79951	2	197143						
D	"RANGE RESOURCES - APPALACHIA,  LLC"	114534337	N	FT-1GM2	911325-R1	11/1/2016	10/31/2026		N	150000		
A	"ENGIE ENERGY MARKETING NA, INC."	N										
A	"TWIN EAGLE RESOURCE MANAGEMENT, LLC"	N										
P	M2	"DTI - OAKFORD, PA-(D70082/R76082)"	95	75082	2	78500						
P	M2	"NATIONAL FUEL-HOLBROOK GREENE CO.,"	95	75720	2	71500						
P	MQ	ELA CUSTODY TRANSFER POINT	95	79968	ELA	150000						
D	"RANGE RESOURCES - APPALACHIA,  LLC"	114534337	N	FT-1ASW	911376-R2	12/1/2017	11/30/2032		Y	192300		
P	M2	"EQT- BRADEN RUN II, GREENE CO., PA."	95	73907	2	192300						
P	MQ	COLUMBIA GULF- ADAIR CO. KY (D73806	95	75506	2	192300						
D	RED BAY WATER WORKS & GAS BOARD	780465993	N	SCT	810006-R1	10/1/2003	10/31/2012	365	N	3050		L101/X5
A	"ADVANTAGE ENERGY,INC."	N										
P	MQ	"RED BAY, AL"	95	70100	1	2675						
P	MQ	"RED BAY #2, FRANKLIN CO. AL."	95	73109	1	375						
D	RICE ENERGY MARKETING LLC	79663699	N	LLFT	870276-R2	9/1/2015	10/31/2025		N	86428		
A	BP ENERGY COMPANY	N										
A	"SEQUENT ENERGY MANAGEMENT, L.P."	N										
P	M2	PEPL/TETCO (LEBANON LATERAL-TETCO C	95	72770	2	86428						
P	MQ	"PEPL-GAS CITY DELIVERY/ROUTE 26, GR"	95	74903	2	86428						
D	RICE ENERGY MARKETING LLC	79663699	N	FT-1OPN	911229-R2	11/20/2015	11/19/2035		Y	50000		
A	BP ENERGY COMPANY	N										
P	M2	"RICE ENERGY-ALPHA/PETTIT ROAD, GREE"	95	73867	2	50000						
P	M2	"RICE ENERGY-OHIO/BOLTZ RIDGE ROAD,"	95	73868	2	50000						
P	M2	RICE ENERGY-DENEX (TOMBSTONE) AKRON	95	73869	2	50000						
P	M2	"MOMENTUM KENSINGTON / HIGHWAY 644,"	95	74200	2	50000						
P	MQ	EGAN GAS STORAGE (73331 INJ/73332 W	95	75332	WLA	25000						
P	MQ	"CHENIERE LNG, BEAUREGARD PA,LA (D-7"	95	75866	WLA	25000						
